time_gmt7,endpoint,source,http_status,status,credits_charged
"Sep 6, 01:36",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:36",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:36",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:35",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:34",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:33",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:33",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:33",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:33",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:33",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:33",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:33",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:33",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:32",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:31",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
